word,count
you,457
the,312
it,248
xxx,199
that,175
what,152
there,151
a,145
I,140
is,125
,119
in,103
that's,98
to,93
on,92
one,85
mhm,83
see,79
it's,77
put,76
your,76
don't,70
oh,70
okay,66
can,63
this,59
Peter,58
right,56
me,52
no,52
think,52
and,51
do,50
gonna,50
have,50
wan,45
who,44
hmm,43
want,43
here,42
what's,42
go,40
now,40
did,39
not,37
write,37
up,36
you're,36
look,34
back,33
get,33
there's,33
box,32
open,32
well,32
paper,31
too,30
we,30
are,29
for,29
need,28
with,28
how,27
another,26
like,26
tape,26
all,25
uhhuh,25
where,25
down,24
at,22
know,22
off,22
pen,22
yes,22
my,21
of,21
she,21
should,21
yeah,21
over,20
sit,20
some,20
where's,20
more,19
thank_you,19
two,19
car,18
finished,18
out,18
take,18
toys,18
airplane,17
bag,17
have_to,17
Lois,16
good,16
he,16
home,16
just,16
big,15
chair,15
let's,15
other,15
very,15
I'll,14
didn't,14
truck,14
Jennifer,13
Patsy,13
away,13
cow,13
does,13
doing,13
goes,13
going,13
something,13
turn,13
why,13
yet,13
I'm,12
about,12
book,12
cookie,12
hard,12
if,12
let,12
so,12
them,12
way,12
an,11
daddy,11
gobble,11
maybe,11
monster,11
would,11
better,10
d,10
fix,10
help,10
light,10
mommy,10
room,10
say,10
says,10
show,10
um,10
wait,10
we're,10
what're,10
can't,9
closed,9
cold,9
hi,9
hold,9
nose,9
push,9
we'll,9
when,9
wrench,9
be,8
boy,8
bring,8
but,8
come,8
dinner,8
eat,8
empty,8
finger,8
give,8
her,8
new,8
piece,8
play,8
read,8
ring,8
smoke,8
time,8
use,8
alright,7
blue,7
broke,7
coming,7
dirty,7
donkey,7
else,7
front,7
make,7
man,7
mouse,7
mouth,7
move,7
nice,7
oops,7
out_of,7
pencil,7
putting,7
saying,7
screw,7
then,7
uhoh,7
welcome,7
zebra,7
again,6
animals,6
any,6
button,6
enough,6
everything,6
has,6
looking,6
mm,6
moo,6
nobody,6
or,6
people,6
pretzel,6
recorder,6
thought,6
tire,6
tissue,6
tongue,6
under,6
was,6
what'd,6
work,6
blow,5
careful,5
close,5
doesn't,5
dog,5
first,5
funny,5
hand,5
head,5
hello,5
hey,5
his,5
horsie,5
huh,5
little,5
mama,5
might,5
monkey,5
name,5
nope,5
only,5
pocketbook,5
pretzels,5
soon,5
sure,5
telephone,5
tight,5
top,5
were,5
wheels,5
wrong,5
Jennifer's,4
anything,4
ark,4
baby,4
back's,4
beard,4
both,4
came,4
cement,4
cheek,4
comb,4
doggie,4
doin,4
driving,4
elephant,4
engine,4
feet,4
find,4
from,4
giraffe,4
got,4
guess,4
had,4
hands,4
happened,4
him,4
hurt,4
isn't,4
many,4
microphone,4
mine,4
our,4
own,4
page,4
please,4
pull,4
quite,4
ready,4
round,4
screwdriver,4
sweetie,4
talk,4
these,4
they,4
they're,4
those,4
turned,4
turtle,4
upside,4
us,4
wanted,4
wheel,4
woof,4
yours,4
yyy,4
California,3
Claus,3
Jenny,3
Noah,3
Patsy's,3
Petey,3
Santa,3
airplanes,3
alligator,3
almost,3
apart,3
as,3
ball,3
belongs,3
belt,3
bet,3
block,3
books,3
breathe,3
broken,3
buildings,3
candy,3
cause,3
draw,3
ear,3
fingers,3
floor,3
front's,3
hair,3
hiccups,3
hippopotamus,3
horse,3
into,3
kind,3
kitchen,3
living,3
lizard's,3
looks,3
made,3
matter,3
mean,3
necklace,3
nothing,3
reading,3
really,3
red,3
said,3
side,3
sitting,3
standing,3
stick,3
string,3
stuck,3
talking,3
than,3
three,3
til,3
try,3
trying,3
uh,3
while,3
whose,3
window,3
wipe,3
you'll,3
yourself,3
Ark,2
Noah's,2
anyway,2
aren't,2
around,2
ask,2
barrette,2
bird,2
blanket,2
