word,count
you,295
the,242
it,195
I,175
a,153
what,130
is,95
in,94
don't,92
oh,92
that,92
no,83
okay,81
one,76
there,75
do,74
that's,70
it's,69
have,68
mhm,68
to,63
think,59
we,55
right,54
can,53
well,51
this,50
on,48
not,47
want,46
here,42
see,42
yeah,41
and,40
all,38
put,37
know,35
where,35
for,33
he,33
xxx,33
go,32
good,31
gonna,29
me,29
of,29
you're,29
Pete,28
did,28
get,28
uhhuh,28
with,28
are,27
at,27
she,27
Peter,26
cow,25
up,25
why,24
does,23
ta,23
now,22
school,22
what's,22
your,22
hmm,21
horse,21
like,21
about,20
but,20
them,20
need,19
some,19
thank_you,19
uh,19
any,18
should,18
there's,18
um,18
was,18
yes,18
out,17
take,17
they,17
Jenny,16
didn't,16
down,16
have_to,16
if,16
just,16
maybe,16
play,16
so,16
too,16
I'm,15
can't,15
doesn't,15
had,15
little,15
my,15
other,15
over,15
come,14
her,14
kind,14
back,13
be,13
bolt,13
sure,13
way,13
who,13
big,12
gas,12
house,12
people,12
where's,12
because,11
fish,11
going,11
how,11
huh,11
make,11
more,11
mother,11
much,11
another,10
em,10
here's,10
his,10
two,10
very,10
yellow,10
I'll,9
Lynn,9
away,9
baby,9
bring,9
car,9
could,9
got,9
has,9
hey,9
hurt,9
look,9
milk,9
mm,9
mommy,9
off,9
or,9
room,9
say,9
they're,9
time,9
train,9
were,9
wheel,9
airplane,8
furniture,8
putting,8
screw,8
things,8
those,8
thought,8
today,8
who's,8
alright,7
behind,7
ears,7
eat,7
goes,7
he's,7
him,7
let's,7
live,7
lunch,7
nice,7
pretty,7
red,7
station,7
talk,7
these,7
top,7
toys,7
us,7
watch,7
would,7
Patsy,6
animals,6
aren't,6
bag,6
belongs,6
better,6
boy,6
doing,6
else,6
first,6
foot,6
give,6
help,6
last,6
leave,6
left,6
let,6
money,6
nap,6
out_of,6
paper,6
three,6
throw,6
under,6
we'll,6
anything,5
around,5
as,5
barrel,5
baseball,5
black,5
bottle,5
broken,5
enough,5
girl,5
guess,5
hurts,5
lost,5
many,5
mean,5
one's,5
ready,5
ride,5
she's,5
silly,5
song,5
tell,5
though,5
trucks,5
tunnel,5
turn,5
wheels,5
when,5
where'd,5
which,5
yours,5
yourself,5
Lois,4
Lynn's,4
again,4
almost,4
an,4
anyway,4
by,4
catch,4
chair,4
close,4
disappear,4
dolphin,4
fell,4
find,4
finished,4
four,4
from,4
funny,4
hand,4
hard,4
home,4
horse's,4
horsie,4
idea,4
isn't,4
juice,4
kitchen,4
living,4
missing,4
mouth,4
new,4
only,4
outside,4
pick,4
piece,4
rope,4
show,4
side,4
sitting,4
sound,4
stand,4
start,4
stay,4
talking,4
toy,4
truck,4
upside,4
wait,4
wants,4
we're,4
what'd,4
what're,4
whoops,4
whose,4
will,4
work,4
California,3
Friday,3
I'd,3
Jen,3
Jennifer,3
Jenny's,3
Lucy,3
Nana,3
a_lot_of,3
ah,3
already,3
anymore,3
ask,3
bed,3
beige,3
bolts,3
brought,3
came,3
cars,3
caught,3
coming,3
cows,3
daddy,3
dinner,3
drink,3
empty,3
engine,3
fall,3
fire,3
fits,3
flat,3
found,3
front,3
