word,count
you,460
the,422
it,226
a,161
that,159
there,136
is,135
what,127
to,116
are,114
that's,111
in,94
put,88
I,86
oh,81
want,78
do,76
can,75
on,75
your,75
it's,74
see,74
Peter,64
gonna,61
don't,56
think,52
this,52
seesaw,51
me,50
down,47
look,47
tape,47
more,46
one,43
yeah,43
here,42
and,41
where's,40
right,39
some,39
what's,39
wheel,39
all,38
yes,38
did,35
there's,35
now,34
up,34
at,33
mhm,33
okay,33
have,32
let's,32
train,32
bag,31
going,31
turning,30
you're,30
go,29
here's,29
blocks,28
little,27
get,26
no,26
paper,26
doing,25
fix,25
he,25
where,25
xxx,25
for,24
like,24
with,24
book,23
toys,23
write,23
house,22
of,22
out,22
we,22
again,21
recorder,21
I'll,20
box,20
sit,20
take,19
car,18
man,18
they,18
zoom,18
away,17
ride,17
top,17
very,17
I'm,16
airplane,16
hello,16
make,16
other,16
thank_you,16
let,15
my,15
too,15
why,15
goes,14
know,14
pen,14
,13
awoh,13
back,13
he's,13
not,13
read,13
big,12
chair,12
come,12
donkey,12
enough,12
mouse,12
nice,12
off,12
play,12
two,12
any,11
better,11
cup,11
hear,11
if,11
mama,11
microphone,11
wants,11
another,10
boom,10
good,10
hmm,10
peekaboo,10
putting,10
ring,10
so,10
suitcase,10
them,10
turn,10
wan,10
yyy,10
broken,9
doggie,9
fixed,9
floor,9
foot,9
happened,9
hurt,9
milk,9
mm,9
piece,9
pull,9
puzzle,9
shall,9
they're,9
upside,9
wash,9
buttons,8
dog,8
else,8
empty,8
fell,8
four,8
have_to,8
him,8
how,8
isn't,8
looking,8
oops,8
open,8
over,8
pliers,8
pour,8
pretty,8
stand,8
teddy,8
those,8
together,8
touch,8
truck,8
under,8
well,8
wheels,8
Lois,7
aren't,7
ball,7
be,7
bear,7
catch,7
close,7
does,7
doesn't,7
fire,7
nap,7
noise,7
playing,7
riding,7
roll,7
should,7
three,7
was,7
who's,7
Peter's,6
all_gone,6
alright,6
around,6
bring,6
clown,6
crash,6
frisbee,6
gone,6
hi,6
his,6
hut,6
just,6
men,6
much,6
red,6
say,6
shoes,6
siren,6
table,6
triangle,6
when,6
yourself,6
an,5
blow,5
cow,5
didn't,5
fall,5
finished,5
give,5
hammer,5
heavy,5
help,5
hit,5
huh,5
leave,5
mirror,5
mouth,5
picture,5
pocket,5
seat,5
she,5
shoe,5
slide,5
sticky,5
tickle,5
uhhuh,5
we're,5
would,5
zip,5
Patsy,4
about,4
anything,4
before,4
bridge,4
bunny,4
bus,4
byebye,4
click,4
comes,4
couch,4
cover,4
ears,4
find,4
flowers,4
funny,4
getting,4
harmonica,4
hole,4
hot,4
juice,4
lady,4
looks,4
money,4
oop,4
our,4
pieces,4
said,4
saw,4
scratchy,4
sleepy,4
something,4
still,4
these,4
tie,4
uh,4
way,4
who,4
window,4
wipe,4
works,4
yellow,4
you've,4
Marjorie,3
Pat,3
ask,3
behind,3
build,3
careful,3
cars,3
closed,3
crying,3
daw,3
dogs,3
drink,3
face,3
finger,3
fixing,3
found,3
had,3
hamburger,3
hat,3
head,3
her,3
hiding,3
jump,3
kitchen,3
letter,3
maybe,3
mommy,3
mommy's,3
new,3
oh_my_goodness,3
opener,3
opening,3
outside,3
penny,3
policeman,3
room,3
running,3
sharp,3
she's,3
smell,3
soldier,3
stopped,3
stuck,3
such,3
sun,3
sure,3
ta,3
tear,3
thought,3
through,3
today,3
toy,3
water,3
went,3
were,3
where're,3
wire,3
working,3
you'd,3
Jack,2
Jennifer,2
Mr,2
Mrs,2
am,2
apron,2
barking,2
black,2
block,2
books,2
boy,2
bracelet,2
but,2
button,2
bye,2
calling,2
can't,2
children,2
chimney,2
could,2
d,2
day,2
drill,2
eat,2
ever,2
feet,2
fit,2
fits,2
friends,2
garble,2
glad,2
got,2
hand,2
hands,2
has,2
high,2
home,2
hungry,2
idea,2
inside,2
interested,2
into,2
it'll,2
its,2
knocked,2
lamb,2
leg,2
living,2
lots_of,2
lunch,2
many,2
master,2
may,2
my_goodness,2
need,2
needs,2
next_to,2
nobody,2
nothing,2
ouch,2
page,2
place,2
puppet,2
puppets,2
ready,2
really,2
roof,2
round,2
run,2
says,2
sheep,2
shining,2
sing,2
sitting,2
small,2
song,2
sounds,2
spill,2
spoon,2
stick,2
talking,2
tall,2
things,2
throwing,2
time,2
tongue,2
trains,2
tricycle,2
trip,2
try,2
turtle,2
wanted,2
watch,2
we'd,2
we'll,2
whew,2
wow,2
Coke,1
Jello,1
Judy,1
Judy's,1
Lo,1
Patsy's,1
Paul,1
Peter_size,1
accident,1
ah,1
aka,1
apart,1
apartment,1
arms,1
awhile,1
baby,1
ball'll,1
banging,1
bars,1
baseball,1
bear's,1
bed,1
bend,1
bigger,1
bite,1
blue,1
boop,1
bottle,1
boxes,1
bringing,1
broke,1
brum,1
burn,1
c,1
call,1
called,1
came,1
cat's,1
ch_ch_ch,1
ch_ch_ch_ch,1
check,1
checking,1
cheese,1
chew,1
choo,1
clean,1
clicking,1
closing,1
colored,1
coming,1
cookie,1
cottage,1
coughing,1
count,1
crossed,1
cube,1
daddy,1
dangerous,1
dinner,1
dirty,1
dog's,1
door,1
downstairs,1
draw,1
drew,1
drunk,1
dryer,1
ear,1
em,1
ends,1
even,1
everything,1
exactly,1
excited,1
eye,1
eyes,1
fast,1
favorite,1
fine,1
finish,1
finishing,1
first,1
fish,1
five,1
food,1
forget,1
from,1
fun,1
