word,count
the,368
you,301
it,243
I,216
a,198
to,178
in,132
that,114
oh,113
what,108
is,107
mhm,105
and,99
that's,98
see,93
it's,88
we,86
okay,79
think,71
do,70
there,69
this,68
on,66
right,61
can,59
don't,58
yeah,58
one,57
put,56
did,52
have,52
no,50
going,49
so,47
he,46
here,46
like,46
your,45
go,44
just,43
was,43
want,42
where,42
know,41
of,41
all,39
room,38
well,38
if,37
not,37
they,36
up,34
be,32
because,30
didn't,30
them,30
are,29
does,29
mm,29
house,27
now,27
out,27
way,27
with,27
about,26
could,26
get,26
why,26
for,25
how,25
xxx,25
good,24
have_to,24
maybe,24
I'm,23
Peter,23
but,23
come,23
let's,23
little,23
screw,23
some,23
take,23
too,22
down,21
there's,21
back,20
kitchen,20
when,20
goes,19
me,19
or,19
then,19
who,19
you're,19
bolt,18
hmm,18
nice,18
other,18
she,18
would,17
at,16
can't,16
very,16
alright,15
big,15
doesn't,15
got,15
make,15
really,15
uhhuh,15
need,14
table,14
bring,13
had,13
they're,13
thought,13
two,13
where's,13
first,12
huh,12
living,12
look,12
mommy,12
my,12
school,12
stand,12
tape,12
thing,12
were,12
yes,12
I'll,11
books,11
box,11
car,11
daddy,11
kind,11
nope,11
play,11
time,11
yellow,11
another,10
blue,10
from,10
he's,10
let,10
people,10
still,10
sure,10
bag,9
bath,9
different,9
far,9
mean,9
over,9
she's,9
should,9
side,9
these,9
those,9
together,9
wait,9
we're,9
New_York,8
cow,8
engine,8
has,8
his,8
hold,8
live,8
long,8
read,8
ride,8
show,8
six,8
something,8
what's,8
wheel,8
wheels,8
which,8
David,7
an,7
around,7
bed,7
coming,7
hole,7
isn't,7
making,7
new,7
oops,7
open,7
though,7
tight,7
tv,7
under,7
will,7
wrong,7
yet,7
almost,6
any,6
before,6
behind,6
better,6
dog,6
each,6
either,6
enough,6
furniture,6
gonna,6
guess,6
hear,6
help,6
her,6
honey,6
horse,6
into,6
more,6
much,6
noise,6
red,6
same,6
somebody,6
supposed,6
tell,6
things,6
through,6
uh,6
um,6
used,6
write,6
zoo,6
Claus,5
Patsy,5
Santa,5
bit,5
boom,5
door,5
eat,5
else,5
fish,5
fit,5
fix,5
headlights,5
here's,5
him,5
home,5
inside,5
looks,5
lost,5
many,5
might,5
mouse,5
one's,5
only,5
place,5
presents,5
pretty,5
said,5
sitting,5
story,5
today,5
use,5
we'll,5
went,5
who's,5
whole,5
window,5
Jenni,4
Lynn,4
Winnie_the_Poh,4
animals,4
apart,4
baby,4
boat,4
boy,4
brought,4
came,4
cleaned,4
comes,4
every,4
find,4
finished,4
fire,4
friend,4
give,4
hair,4
hard,4
humidifier,4
hurt,4
leave,4
looking,4
made,4
milk,4
minute,4
mother,4
off,4
paper,4
person,4
present,4
pretend,4
question,4
rest,4
roll,4
say,4
steering,4
thank_you,4
their,4
tiny,4
train,4
turn,4
us,4
won't,4
Jenny's,3
Lucy,3
New_Jersey,3
again,3
air,3
already,3
anything,3
as,3
away,3
badgers,3
barrels,3
bolts,3
bus,3
camera,3
cleaner,3
close,3
color,3
