word,count
who're,1
whoops,1
whose,1
why're,1
work,1
works,1
wouldn't,1
wrong,1
yet,1
yours,1
yyy,1
