word,count
the,379
you,351
what,295
it,196
do,168
is,144
a,138
that,138
I,120
are,113
see,102
to,96
what's,92
no,90
this,80
machine,66
me,63
more,63
Eric,62
choo,62
here,61
and,58
did,57
look,54
noise,54
put,51
want,50
where,49
shall,48
have,45
in,45
train,45
xxx,45
doing,44
on,44
for,41
let's,41
go,37
juice,36
one,36
good,35
baby,33
can,33
little,33
we,33
where's,33
mommy,32
oh,32
that's,32
who,32
house,31
make,31
take,31
with,31
clown,30
it's,30
there,30
boy,29
okay,29
block,27
turn,27
up,27
clowns,26
cookie,26
get,26
I'll,25
going,25
my,25
sit,25
at,24
does,24
like,24
thank_you,24
daddy,23
let,23
you're,23
build,22
off,22
play,22
ride,22
toys,22
yyy,22
car,21
he,21
listen,21
now,21
lamb,20
man,20
yes,20
your,20
Eric's,19
byebye,19
can't,19
how,19
don't,18
down,18
very,18
all,17
nice,17
out,17
again,16
hi,16
truck,16
watch,16
whose,16
Lois',15
another,15
find,15
hear,15
think,15
any,14
back,14
bridge,14
other,14
right,14
them,14
we'll,14
who's,14
cleaner,13
lambs,13
makes,13
shoe,13
bad,12
castle,12
help,12
him,12
hmm,12
show,12
tell,12
under,12
bed,11
bunny,11
come,11
light,11
mine,11
stand,11
they,11
would,11
about,10
blocks,10
funny,10
happened,10
here's,10
not,10
window,10
away,9
bump,9
bye,9
cry,9
crying,9
dance,9
fall,9
some,9
wet,9
I'm,8
bring,8
door,8
drink,8
drinking,8
else,8
he's,8
horse,8
over,8
read,8
round,8
saying,8
there's,8
these,8
was,8
what'd,8
books,7
close,7
give,7
hat,7
say,7
sleep,7
telephone,7
way,7
all_gone,6
alright,6
around,6
attach,6
box,6
broke,6
comes,6
cover,6
didn't,6
dog,6
girl,6
has,6
have_to,6
his,6
if,6
outside,6
sitting,6
thirsty,6
too,6
will,6
you'll,6
big,5
broken,5
brought,5
built,5
chair,5
day,5
dirty,5
doesn't,5
drum,5
gonna,5
high,5
just,5
know,5
looks,5
need,5
of,5
riding,5
they're,5
try,5
well,5
bench,4
book,4
break,4
but,4
button,4
engine,4
fix,4
floor,4
hello,4
hey,4
hold,4
left,4
looking,4
mm,4
or,4
out_of,4
phone,4
putting,4
remember,4
said,4
saw,4
teddy,4
two,4
which,4
works,4
be,3
bear,3
boat,3
building,3
bulldozer,3
climb,3
daddy's,3
dorme,3
eating,3
face,3
feel,3
fit,3
found,3
got,3
head,3
heavy,3
home,3
hot,3
hurt,3
kind,3
kiss,3
later,3
matter,3
naughty,3
new,3
pants,3
peekaboo,3
red,3
so,3
something,3
start,3
together,3
wait,3
were,3
wheel,3
why,3
Allison,2
Frere,2
Jacques,2
air,2
airplane,2
an,2
bank,2
battery,2
black,2
bless,2
buttons,2
change,2
coming,2
conditioner,2
cries,2
diapered,2
dry,2
fell,2
filled,2
finish,2
finished,2
fire,2
giving,2
goes,2
hand,2
he'd,2
hungry,2
into,2
leave,2
listening,2
man's,2
maybe,2
mirror,2
mommy's,2
mousie,2
much,2
mustn't,2
open,2
please,2
records,2
rest,2
sat,2
says,2
shining,2
shoes,2
singing,2
sleeping,2
smell,2
standing,2
stay,2
still,2
store,2
sun,2
taking,2
teeth,2
then,2
this'll,2
those,2
threw,2
through,2
tie,2
tied,2
time,2
today,2
took,2
top,2
toy,2
tummy,2
upside,2
we're,2
went,2
where'd,2
wind,2
www,2
yeah,2
yo,2
yours,2
zipper,2
Bloom,1
Ericc,1
Mrs,1
Pamela,1
a_lot_of,1
after,1
anybody,1
babies,1
bath,1
before,1
broom,1
brushing,1
by,1
call,1
called,1
cat,1
caught,1
cereal,1
changed,1
changing,1
children,1
clown's,1
cocoa,1
confused,1
cooking,1
cooks,1
corner,1
covered,1
crib,1
d,1
diapers,1
dropped,1
duck,1
dump,1
dust,1
eat,1
elephant,1
enough,1
everything,1
faces,1
fight,1
first,1
flowers,1
food,1
foot,1
from,1
game,1
gets,1
god,1
goose,1
haha,1
her,1
hit,1
ho,1
holding,1
honey,1
hooray,1
instead,1
isn't,1
kitchen,1
laugh,1
laughing,1
lifted,1
live,1
lives,1
making,1
mama,1
many,1
mean,1
mhm,1
miss,1
missing,1
mommy'll,1
money,1
morning,1
mother,1
mouse,1
move,1
nothing,1
pat,1
people,1
pick,1
picture,1
playing,1
plug,1
pretty,1
propeller,1
push,1
ready,1
record,1
same,1
scared,1
seesaw,1
shave,1
she'll,1
sheep,1
sing,1
sometimes,1
song,1
soon,1
stuck,1
sure,1
sweetie,1
ta,1
thing,1
tick,1
tired,1
tock,1
train's,1
trains,1
trying,1
turned,1
turning,1
turns,1
uhoh,1
untying,1
walk,1
wants,1
wash,1
wasn't,1
wave,1
waving,1
when's,1
who'd,1
won't,1
you'd,1
