word,count
you,491
the,379
it,275
a,232
I,183
to,177
what,165
that,158
is,140
okay,136
on,133
oh,131
mhm,114
don't,109
in,106
that's,106
it's,94
there,89
and,80
do,77
no,77
want,77
are,69
well,68
your,67
put,66
right,65
with,65
one,64
yeah,63
can,61
this,61
like,60
have,59
see,58
go,57
we,56
Peter,55
did,55
here,55
think,55
you're,55
not,49
going,48
was,45
some,43
for,42
where,42
know,38
ta,38
down,36
gonna,36
of,36
train,36
me,35
write,35
come,33
be,31
get,31
play,31
mommy,30
I'll,29
I'm,29
away,28
horse,28
too,28
why,28
at,27
good,27
little,27
what's,27
all,26
now,26
about,25
if,25
she,25
would,25
Pete,24
doing,24
my,24
up,24
baby,23
have_to,23
he,23
thank_you,23
sit,22
where's,22
Lynn,21
pen,21
uhhuh,21
how,20
look,20
out,20
piece,20
bus,19
just,19
maybe,19
mm,19
take,19
they,19
wet,19
got,18
hmm,18
then,18
when,18
back,17
big,17
didn't,17
sandwich,17
say,17
shore,17
so,17
daddy,16
huh,16
over,16
umbrella,16
xxx,16
Jennifer,15
let,15
more,15
sure,15
today,15
we'll,15
went,15
Patsy,14
because,14
eat,14
find,14
hit,14
raining,14
shall,14
were,14
who's,14
yes,14
book,13
boy,13
but,13
chicken,13
cow,13
isn't,13
let's,13
nice,13
off,13
paper,13
ride,13
there's,13
Jenny,12
bed,12
does,12
happened,12
hi,12
house,12
money,12
or,12
sing,12
stand,12
time,12
very,12
water,12
who,12
Lois,11
chair,11
him,11
other,11
people,11
pretty,11
remember,11
them,11
toys,11
two,11
bring,10
can't,10
give,10
her,10
she's,10
subway,10
thought,10
we're,10
any,9
better,9
candy,9
car,9
circle,9
could,9
had,9
he's,9
here's,9
hey,9
kind,9
kite,9
looks,9
make,9
might,9
noisy,9
quiet,9
sheep,9
again,8
an,8
bag,8
been,8
getting,8
has,8
his,8
hold,8
home,8
mine,8
pencil,8
room,8
something,8
talk,8
they're,8
which,8
George,7
I've,7
all_gone,7
another,7
call,7
engine,7
fire,7
frescade,7
guess,7
help,7
hurt,7
letter,7
many,7
mean,7
new,7
our,7
pretzel,7
should,7
slide,7
somebody,7
thing,7
those,7
three,7
took,7
under,7
us,7
while,7
you've,7
Loi,6
Lynn's,6
Petes,6
alright,6
as,6
ask,6
baby's,6
dark,6
drawer,6
dry,6
finished,6
guitar,6
looking,6
lucky,6
mommy's,6
name,6
please,6
railroad,6
rain,6
recorder,6
same,6
security,6
sitting,6
sleep,6
swimming,6
tomorrow,6
trip,6
try,6
uncle,6
what're,6
ya,6
Bill,5
New_Jersey,5
Petey,5
Petsey,5
Tom,5
am,5
anyway,5
awoh,5
by,5
careful,5
coat,5
different,5
dressed,5
drink,5
else,5
first,5
floor,5
funny,5
gum,5
mustache,5
nap,5
night,5
nothing,5
old,5
one's,5
open,5
pants,5
pocketbook,5
read,5
singing,5
siren,5
song,5
stay,5
still,5
string,5
tape,5
tear,5
tell,5
thanks,5
these,5
tinkle,5
together,5
upside,5
wait,5
whose,5
yep,5
yours,5
Nana,4
already,4
beach,4
before,4
blowing,4
choo,4
cry,4
day,4
dog,4
e,4
elevator,4
em,4
feel,4
fell,4
from,4
gentle,4
godfather,4
goes,4
hard,4
holding,4
hole,4
it'll,4
last,4
leave,4
living,4
lots_of,4
milk,4
minute,4
need,4
only,4
outside,4
quick,4
really,4
riding,4
said,4
sick,4
sister,4
speak,4
stopped,4
strings,4
sweetie,4
telephone,4
um,4
use,4
wants,4
wasn't,4
way,4
wear,4
what'd,4
will,4
wish,4
won't,4
writing,4
wrong,4
you'll,4
yourself,4
Brown,3
Charlie,3
Patsy's,3
Snoopy,3
Washington,3
after,3
air,3
alphabet,3
anybody,3
around,3
beaver,3
belongs,3
bit,3
blow,3
board,3
books,3
bottom,3
brought,3
chairs,3
chimney,3
closet,3
cookies,3
cows,3
crying,3
dangerous,3
dear,3
delicious,3
dinner,3
doesn't,3
end,3
envelope,3
finish,3
fold,3
gas,3
gave,3
grace,3
hand,3
hear,3
horn,3
jacket,3
jersey,3
later,3
leaning,3
makes,3
messy,3
moved,3
much,3
next_to,3
p,3
pens,3
picture,3
pipe,3
place,3
player,3
push,3
real,3
saw,3
show,3
sill,3
small,3
sorry,3
squeeze,3
swim,3
t,3
table,3
their,3
top,3
turned,3
tv,3
understand,3
used,3
walk,3
