word,count
you,345
the,251
it,190
a,150
I,117
what,113
oh,108
that,108
is,105
in,91
your,87
that's,83
okay,78
to,78
xxx,77
mhm,68
don't,57
there,55
want,54
gonna,49
it's,49
not,48
on,48
this,47
you're,47
right,45
did,43
do,43
put,43
can,42
here,42
no,42
me,40
one,40
think,40
Peter,37
for,37
go,37
some,37
now,36
we,36
see,35
well,33
have,32
with,30
about,28
are,28
get,27
good,27
and,26
Pete,25
off,25
was,25
uhhuh,24
like,23
what's,23
over,22
thank_you,22
know,20
where's,20
yes,20
how,19
lunch,19
take,19
truck,19
where,19
can't,18
car,18
he,18
ta,18
yeah,18
I'll,17
all,17
hmm,17
be,16
eat,16
just,16
more,16
nice,16
of,16
other,16
out,15
she,15
throw,15
too,15
why,15
Jenny,14
my,14
orange,14
play,14
time,14
going,13
if,13
them,13
very,13
way,13
chair,12
come,12
huh,12
little,12
mm,12
red,12
sit,12
there's,12
top,12
what're,12
write,12
at,11
box,11
her,11
here's,11
isn't,11
let,11
maybe,11
or,11
so,11
yet,11
back,10
but,10
didn't,10
does,10
gas,10
have_to,10
look,10
need,10
paper,10
they,10
try,10
up,10
welcome,10
were,10
who's,10
I'm,9
Patsy,9
bologna,9
bring,9
daddy,9
doing,9
down,9
em,9
fire,9
let's,9
man,9
meat,9
ride,9
room,9
table,9
tape,9
thought,9
toys,9
under,9
water,9
who,9
Jenny's,8
Lois,8
cut,8
gobble,8
help,8
make,8
open,8
say,8
scrub,8
something,8
train,8
where'd,8
yesterday,8
again,7
alright,7
away,7
because,7
boy,7
careful,7
could,7
door,7
face,7
fix,7
fuel,7
girl,7
got,7
hair,7
happened,7
kind,7
mommy,7
morning,7
playing,7
pool,7
sandwich,7
stuck,7
when,7
any,6
donkey,6
first,6
foot,6
give,6
hat,6
honey,6
noise,6
plate,6
pow,6
pretty,6
ready,6
screw,6
she's,6
still,6
tea,6
tell,6
they're,6
things,6
together,6
tunnel,6
used,6
we're,6
wheel,6
yours,6
Jen,5
ah,5
airplane,5
baby,5
bed,5
big,5
break,5
breakfast,5
buy,5
cash,5
cookie,5
else,5
find,5
from,5
has,5
hurt,5
key,5
keys,5
legs,5
mean,5
mine,5
oil,5
only,5
piece,5
recorder,5
register,5
said,5
store,5
thing,5
those,5
toy,5
understand,5
use,5
wash,5
we'll,5
wet,5
would,5
yourself,5
an,4
around,4
ask,4
bag,4
barrette,4
behind,4
bike,4
cry,4
daddy's,4
early,4
engine,4
enough,4
finished,4
found,4
fruit,4
garbage,4
gave,4
getting,4
goes,4
group,4
gum,4
hear,4
hey,4
hole,4
house,4
lady,4
making,4
milk,4
minutes,4
mirror,4
mouth,4
nap,4
needs,4
out_of,4
pencil,4
ring,4
shall,4
show,4
spray,4
ten,4
then,4
tire,4
today,4
toot,4
towel,4
us,4
went,4
what'd,4
won't,4
wrong,4
I'd,3
Jello,3
after,3
ago,3
am,3
another,3
balloon,3
been,3
bit,3
bless,3
both,3
broke,3
broken,3
by,3
catch,3
close,3
doggie,3
drawer,3
drive,3
driving,3
even,3
fell,3
floor,3
following,3
footsie,3
fun,3
girls,3
had,3
having,3
he's,3
head,3
hi,3
hold,3
hose,3
idea,3
into,3
leave,3
lock,3
looking,3
love,3
magazine,3
mailbox,3
matter,3
messed,3
middle,3
missing,3
move,3
next,3
our,3
outside,3
people,3
probably,3
putting,3
rabbit,3
remember,3
set,3
sheep,3
shell,3
should,3
sleeping,3
small,3
somebody,3
spraying,3
stand,3
steering,3
sugar,3
sure,3
swim,3
swimming,3
talking,3
their,3
thirsty,3
trouble,3
turkey,3
turn,3
turned,3
two,3
uh,3
um,3
walk,3
wants,3
wasn't,3
while,3
wow,3
yellow,3
you've,3
Dumpty,2
George's,2
Humpty,2
I've,2
Jennifer,2
Loi,2
Pat,2
afternoon,2
almost,2
alone,2
anything,2
aren't,2
arm,2
barrels,2
better,2
blanket,2
blocks,2
board,2
bread,2
bridge,2
brroom,2
bus,2
came,2
choo,2
chops,2
circle,2
comes,2
confusing,2
conk,2
copying,2
cowboy,2
cup,2
cup's,2
dear,2
diving,2
doesn't,2
done,2
draw,2
dump,2
eating,2
either,2
empty,2
end,2
faces,2
fall,2
fat's,2
fine,2
finish,2
fit,2
five,2
footing,2
gentle,2
glue,2
grass,2
green,2
happening,2
hee_haw,2
him,2
his,2
holes,2
home,2
how's,2
iced,2
inside,2
its,2
jump,2
