word,count
you,258
the,205
it,134
a,91
I,87
okay,82
that,82
what,73
one,64
that's,63
there,63
mhm,58
oh,57
to,57
in,49
xxx,49
right,46
don't,45
is,42
me,42
on,41
with,40
it's,39
do,38
well,38
see,37
want,37
and,33
this,31
no,30
put,30
what's,30
are,29
over,29
can,28
gonna,28
think,27
why,27
what're,26
here,25
go,24
good,24
all,23
you're,23
for,22
not,22
where's,22
get,21
Peter,20
Lois,19
have,19
now,19
play,19
scissors,19
your,19
hmm,18
let,18
let's,18
thank_you,18
going,17
barrels,16
know,16
paper,16
ta,16
barrel,15
how,15
just,15
them,15
down,14
way,14
where,14
cut,13
did,13
goes,13
her,13
take,13
very,13
back,12
look,12
out,12
uhhuh,12
yeah,12
yes,12
baby,11
big,11
can't,11
doing,11
have_to,11
looking,11
she,11
throw,11
try,11
who,11
Pete,10
at,10
away,10
hit,10
like,10
of,10
so,10
tape,10
together,10
I'm,9
magazine,9
mommy's,9
need,9
other,9
sit,9
was,9
about,8
close,8
come,8
funny,8
if,8
mommy,8
my,8
pocketbook,8
should,8
there's,8
these,8
two,8
use,8
write,8
yellow,8
I'll,7
bath,7
box,7
but,7
does,7
drawer,7
girl,7
give,7
has,7
help,7
labels,7
move,7
playing,7
red,7
screw,7
those,7
were,7
when,7
bolt,6
by,6
doesn't,6
frisbee,6
inside,6
isn't,6
maybe,6
oops,6
pencil,6
they,6
they're,6
turn,6
because,5
car,5
could,5
everything,5
find,5
got,5
guess,5
had,5
idea,5
little,5
living,5
make,5
mama,5
off,5
or,5
pen,5
push,5
room,5
some,5
took,5
under,5
up,5
we're,5
welcome,5
Jenny,4
Lois's,4
again,4
another,4
be,4
before,4
behind,4
bird,4
bus,4
call,4
ceiling,4
comes,4
em,4
engine,4
finished,4
fixed,4
foot,4
found,4
green,4
hard,4
high,4
huh,4
mm,4
much,4
nice,4
one's,4
out_of,4
pencils,4
pens,4
say,4
shall,4
slide,4
small,4
supposed,4
sure,4
tell,4
today,4
too,4
uh,4
which,4
would,4
Jack,3
Jennifer,3
Kleenex,3
already,3
am,3
an,3
anything,3
bag,3
bit,3
called,3
came,3
cards,3
coming,3
desk,3
eye,3
from,3
he,3
hey,3
leave,3
loose,3
might,3
missing,3
ones,3
orange,3
our,3
pants,3
people,3
putting,3
