word,count
you,449
the,281
it,261
I,163
oh,155
a,154
what,152
that,134
in,123
okay,118
is,110
that's,103
mhm,95
to,88
it's,87
put,87
do,84
don't,77
there,76
no,73
one,73
this,72
on,71
right,65
gonna,62
your,60
did,57
well,57
think,53
can,52
good,52
not,52
see,52
and,50
go,50
want,50
back,47
we,46
with,46
are,45
uhhuh,45
have,43
em,42
here,42
you're,41
now,40
just,39
like,38
me,38
them,38
where,37
for,36
xxx,36
Peter,35
of,35
hmm,34
what's,33
Pete,31
yeah,31
how,29
thank_you,29
get,27
know,27
I'm,26
over,25
some,25
ta,25
all,24
so,24
where's,23
why,23
they,22
very,22
bag,21
down,21
let's,21
play,21
was,21
about,20
at,20
car,20
doing,20
juice,20
other,20
off,19
take,19
what're,19
daddy,18
she,18
away,17
blocks,17
didn't,17
have_to,17
home,17
these,17
were,17
does,16
got,16
he,16
mm,16
out,16
say,16
too,16
huh,15
I'll,14
her,14
look,14
nice,14
paper,14
room,14
they're,14
toys,14
goes,13
let,13
slide,13
together,13
up,13
Lois,12
Patsy,12
be,12
come,12
help,12
little,12
need,12
throw,12
any,11
apple,11
boy,11
but,11
eat,11
going,11
those,11
turn,11
welcome,11
who's,11
yes,11
Jenny,10
Nana,10
again,10
bring,10
can't,10
from,10
give,10
hey,10
maybe,10
mommy,10
wheel,10
when,10
better,9
book,9
finished,9
leave,9
make,9
more,9
much,9
she's,9
should,9
show,9
still,9
tell,9
there's,9
thought,9
we're,9
wrong,9
anything,8
because,8
else,8
he's,8
living,8
lunch,8
new,8
piece,8
pretty,8
sit,8
store,8
then,8
we'll,8
what'd,8
which,8
would,8
Petey,7
big,7
close,7
cookie,7
doesn't,7
engine,7
fix,7
had,7
hi,7
house,7
looking,7
or,7
our,7
people,7
please,7
rest,7
taking,7
thing,7
us,7
way,7
Jennifer,6
ah,6
all_gone,6
baby,6
bus,6
careful,6
comes,6
coming,6
could,6
crying,6
desk,6
door,6
fall,6
find,6
funny,6
guess,6
guitar,6
gum,6
hand,6
happened,6
him,6
isn't,6
kind,6
laughing,6
letter,6
morning,6
peanut,6
playing,6
sheep,6
stay,6
sure,6
tape,6
their,6
time,6
top,6
trunk,6
two,6
wait,6
wheels,6
where're,6
writing,6
alright,5
an,5
barrel,5
before,5
behind,5
box,5
brought,5
buy,5
circle,5
drawer,5
even,5
fire,5
hat,5
if,5
keep,5
might,5
ones,5
oop,5
orange,5
pull,5
said,5
table,5
took,5
truck,5
try,5
trying,5
voila,5
where'd,5
who,5
whose,5
will,5
write,5
Butchy,4
Jenny's,4
Nana's,4
Patsy's,4
Petes,4
a_lot_of,4
afraid,4
ask,4
banana,4
bed,4
bike,4
bite,4
by,4
chair,4
choo,4
color,4
cookies,4
cry,4
daddy's,4
dirty,4
dry,4
egg,4
enough,4
est,4
finish,4
first,4
found,4
front,4
gave,4
getting,4
glass,4
green,4
hear,4
his,4
holding,4
lick,4
light,4
mommy's,4
my,4
one's,4
pen,4
pencil,4
putting,4
remember,4
ride,4
soon,4
steering,4
things,4
today,4
touch,4
tower,4
train,4
tu,4
turned,4
won't,4
works,4
ya,4
you've,4
yours,4
Bill,3
Jennifer's,3
Petsey,3
Pop_pop's,3
another,3
arm,3
bad,3
barrels,3
barrette,3
belong,3
bit,3
bye,3
chairs,3
clip,3
closet,3
cream,3
draw,3
drive,3
elevator,3
fixing,3
hair,3
il,3
into,3
kitchen,3
knock,3
live,3
many,3
move,3
ocean,3
old,3
pick,3
ready,3
record,3
recorder,3
red,3
running,3
scale,3
seat,3
set,3
shopping,3
sitting,3
sleeping,3
smaller,3
somebody's,3
something,3
sshh,3
