word,count
you,540
the,444
it,331
I,255
a,209
okay,199
that,173
what,173
mhm,167
to,167
is,166
in,153
oh,141
there,140
do,136
that's,128
one,111
this,110
don't,107
want,99
it's,94
on,94
your,94
can,87
see,85
horse,82
gonna,81
and,80
think,79
have,77
here,76
no,74
with,73
right,72
well,71
not,65
did,64
we,64
me,63
ta,62
good,61
up,61
put,60
go,56
yeah,52
are,50
uhhuh,49
why,49
play,47
just,46
Simple_Simon,45
my,45
write,44
too,43
over,42
get,41
big,39
now,39
thank_you,39
all,38
know,38
says,38
you're,37
Jenny,36
some,36
for,35
take,35
them,35
like,34
down,33
she,33
be,32
give,32
so,32
how,31
was,31
what's,30
at,29
back,29
need,29
of,29
out,29
there's,29
they,29
where,29
I'm,28
little,28
look,28
Pete,27
car,27
hmm,26
they're,26
very,26
yes,26
come,24
her,24
say,24
should,24
can't,23
could,23
let's,23
paper,23
school,23
xxx,23
cow,22
does,22
make,22
going,21
have_to,21
let,21
off,21
any,20
but,20
mm,20
who,20
about,19
an,19
because,19
he,19
room,19
I'll,18
airplane,18
barrels,18
pen,18
race,18
swimming,18
use,18
doesn't,17
if,17
maybe,17
yours,17
milk,16
or,16
fish,15
his,15
stand,15
two,15
water,15
what're,15
when,15
which,15
ball,14
box,14
boy,14
hair,14
he's,14
huh,14
red,14
turn,14
us,14
way,14
we're,14
didn't,13
house,13
pool,13
were,13
where's,13
Peter,12
away,12
bag,12
barrel,12
better,12
else,12
here's,12
hi,12
hit,12
pick,12
she's,12
tell,12
then,12
uh,12
um,12
won,12
another,11
broken,11
daddy,11
doing,11
door,11
em,11
enough,11
find,11
has,11
help,11
kind,11
made,11
ready,11
said,11
something,11
swim,11
wait,11
Patsy,10
colt,10
first,10
got,10
isn't,10
mommy,10
more,10
nice,10
other,10
these,10
today,10
yet,10
bat,9
blue,9
bring,9
by,9
foot,9
from,9
him,9
leave,9
minute,9
push,9
roll,9
shall,9
small,9
supposed,9
tired,9
toys,9
truck,9
trunk,9
try,9
we'll,9
who's,9
alright,8
bed,8
circle,8
funny,8
game,8
girl,8
goes,8
keep,8
legs,8
living,8
long,8
mother,8
orange,8
racing,8
ride,8
show,8
soup,8
sure,8
those,8
though,8
wants,8
whose,8
Lois,7
Patsy's,7
around,7
barrette,7
before,7
close,7
different,7
elevator,7
fell,7
guess,7
head,7
hurt,7
looks,7
never,7
pencil,7
spread,7
start,7
tape,7
tennis,7
thought,7
under,7
wear,7
what'd,7
would,7
yellow,7
Loi,6
after,6
am,6
as,6
bath,6
bigger,6
bye,6
fix,6
happened,6
idea,6
kitchen,6
letters,6
looking,6
mean,6
much,6
one's,6
people,6
plastic,6
same,6
sit,6
sleeping,6
standing,6
stove,6
straight,6
suntan,6
toe,6
tummy,6
will,6
I've,5
Jenny's,5
ah,5
alphabet,5
anything,5
awoh,5
baby,5
board,5
clean,5
diving,5
eat,5
far,5
feet,5
hands,5
hard,5
hey,5
hold,5
horse's,5
horses,5
horsie,5
into,5
its,5
jump,5
lot,5
missing,5
mommy's,5
must,5
only,5
oop,5
open,5
page,5
piece,5
pocketbook,5
really,5
s,5
saw,5
sleep,5
slide,5
squeeze,5
tail,5
than,5
touched,5
watch,5
wheels,5
where're,5
yep,5
Jennifer,4
a_lot_of,4
animals,4
aren't,4
bad,4
balls,4
belongs,4
bit,4
busy,4
button,4
careful,4
chair,4
comes,4
coming,4
crayons,4
daddy's,4
draw,4
drink,4
empty,4
fall,4
fit,4
fuzzy,4
herself,4
home,4
hurts,4
live,4
lost,4
making,4
might,4
mine,4
my_goodness,4
next,4
nope,4
our,4
out_of,4
please,4
probably,4
pull,4
rest,4
set,4
sick,4
sitting,4
smaller,4
spoon,4
thing,4
three,4
top,4
trying,4
upside,4
wanted,4
wet,4
while,4
work,4
you've,4
I'd,3
Michael,3
Pat's,3
again,3
almost,3
balloon,3
bet,3
both,3
brown,3
cereal,3
chairs,3
chasing,3
closet,3
clothes,3
crown,3
dark,3
elephant,3
end,3
fat,3
feel,3
finger,3
gets,3
gone,3
grow,3
had,3
