"language","filename","sex","notes"
"English","English/Eng-NA-MOR/Bernstein/Interview/gail3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/kay2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/kay3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/lena2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/lena3","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/marie1","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/marie2","female",
"English","English/Eng-NA-MOR/Bernstein/Interview/marie3","female",
"English","English/Eng-NA-MOR/Bloom70/Peter/06","male",
"English","English/Eng-NA-MOR/Bloom70/Peter/11","male",
"English","English/Eng-NA-MOR/Brent/c1/c1-0930","female",
"English","English/Eng-NA-MOR/Brent/d1/d1-0925","female",
"English","English/Eng-NA-MOR/Brent/f1/f1-0910","male",
"English","English/Eng-NA-MOR/Brent/f1/f1-1206","male",
"English","English/Eng-NA-MOR/Brent/f1/f1-1318","male",
"English","English/Eng-NA-MOR/Brent/f2/f2-0827","female",
"English","English/Eng-NA-MOR/Brent/f2/f2-0927","female",
"English","English/Eng-NA-MOR/Brent/f2/f2-1121","female",
"English","English/Eng-NA-MOR/Brent/f2/f2-1303","female",
"English","English/Eng-NA-MOR/Brent/j1/j1-1023","male",
"English","English/Eng-NA-MOR/Brent/j1/j1-1115","male",
"English","English/Eng-NA-MOR/Brent/j1/j1-1214","male",
"English","English/Eng-NA-MOR/Brent/j1/j1-1229","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-0907","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-0928","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-1113","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-1223","male",
"English","English/Eng-NA-MOR/Brent/m2/m2-1322","male",
"English","English/Eng-NA-MOR/Brent/q1/q1-0900","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1012","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1026","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1109","female",
"English","English/Eng-NA-MOR/Brent/q1/q1-1128","female",
"English","English/Eng-NA-MOR/Brent/s1/s1-1001","male",
"English","English/Eng-NA-MOR/Brent/s2/s2-0905","female",
"English","English/Eng-NA-MOR/Brent/s2/s2-1206","female",
"English","English/Eng-NA-MOR/Brent/s2/s2-1404","female",
"English","English/Eng-NA-MOR/Brent/s3/s3-0913","male",
"English","English/Eng-NA-MOR/Brent/s3/s3-1028","male",
"English","English/Eng-NA-MOR/Brent/s3/s3-1128","male",
"English","English/Eng-NA-MOR/Brent/s3/s3-1209","male",
"English","English/Eng-NA-MOR/Brent/t1/t1-0830","male",
"English","English/Eng-NA-MOR/Brent/t1/t1-1025","male",
"English","English/Eng-NA-MOR/Brent/v1/v1-0910","male",
"English","English/Eng-NA-MOR/Brent/v1/v1-1305","male",
"English","English/Eng-NA-MOR/Brent/v1/v1-1403","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-0903","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1014","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1223","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1307","male",
"English","English/Eng-NA-MOR/Brent/v2/v2-1508","male",
"English","English/Eng-NA-MOR/Brent/w1/w1-1005","female",
"English","English/Eng-NA-MOR/Brent/w1/w1-1123","female",
"English","English/Eng-NA-MOR/Brent/w1/w1-1206","female",
"English","English/Eng-NA-MOR/Brent/w3/w3-1122","male",
"English","English/Eng-NA-MOR/Carterette/adult",,"not codable"
"English","English/Eng-NA-MOR/Carterette/fifth",,"not codable"
"English","English/Eng-NA-MOR/Carterette/first",,"not codable"
"English","English/Eng-NA-MOR/Carterette/third",,"not codable"
"English","English/Eng-NA-MOR/Cornell/haas1917","female",
"English","English/Eng-NA-MOR/Cornell/haas1918","female",
"English","English/Eng-NA-MOR/Cornell/haas1919","female",
"English","English/Eng-NA-MOR/Cornell/haas1920","female",
"English","English/Eng-NA-MOR/Cornell/haas1921","female",
"English","English/Eng-NA-MOR/Cornell/haas1923","female",
"English","English/Eng-NA-MOR/Cornell/haas1924","female",
"English","English/Eng-NA-MOR/Cornell/haas1926","female",
"English","English/Eng-NA-MOR/Cornell/haas1927","female",
"English","English/Eng-NA-MOR/Cornell/haas1929","female",
"English","English/Eng-NA-MOR/Cornell/horn1712","female",
"English","English/Eng-NA-MOR/Cornell/mom01a",,"multiple chi"
"English","English/Eng-NA-MOR/Cornell/mom01b",,"multiple chi"
"English","English/Eng-NA-MOR/Cornell/mom0281",,"multiple chi"
"English","English/Eng-NA-MOR/Cornell/mom0282",,"multiple chi"
"English","English/Eng-NA-MOR/Cornell/mom03","male",
"English","English/Eng-NA-MOR/Cornell/mom04","male",
"English","English/Eng-NA-MOR/Cornell/mom0501","female",
"English","English/Eng-NA-MOR/Cornell/mom0502","female",
"English","English/Eng-NA-MOR/Cornell/mom06","male",
"English","English/Eng-NA-MOR/Cornell/mom07","female",
"English","English/Eng-NA-MOR/Cornell/mom0885","male",
"English","English/Eng-NA-MOR/Cornell/mom0886","male",
"English","English/Eng-NA-MOR/Cornell/mom10","female",
"English","English/Eng-NA-MOR/Cornell/moore188","male",
"English","English/Eng-NA-MOR/Cornell/nurse1","female",
"English","English/Eng-NA-MOR/Cornell/nurse2","female",
"English","English/Eng-NA-MOR/Cornell/nurse3","male",
"English","English/Eng-NA-MOR/Cornell/nurse4","female",
"English","English/Eng-NA-MOR/Cornell/nurse5","female",
"English","English/Eng-NA-MOR/Evans/dyad01",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad02",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad03",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad04",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad05",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad06",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad07",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad08",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad09",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad10",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad11",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad12",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad13",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad14",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad15",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad16",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad17",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad18",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad19",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad20",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad21",,"multiple chi"
"English","English/Eng-NA-MOR/Evans/dyad22",,"multiple chi"
"English","English/Eng-NA-MOR/Feldman/09","male",
"English","English/Eng-NA-MOR/Feldman/11","male",
"English","English/Eng-NA-MOR/Feldman/12a","male",
"English","English/Eng-NA-MOR/Feldman/12b","male",
"English","English/Eng-NA-MOR/Feldman/12d","male",
"English","English/Eng-NA-MOR/Feldman/12e","male",
"English","English/Eng-NA-MOR/Feldman/12f","male",
"English","English/Eng-NA-MOR/Feldman/12g","male",
"English","English/Eng-NA-MOR/Feldman/12h","male",
"English","English/Eng-NA-MOR/Feldman/13","male",
"English","English/Eng-NA-MOR/Feldman/14","male",
"English","English/Eng-NA-MOR/Feldman/15","male",
"English","English/Eng-NA-MOR/Feldman/16","male",
"English","English/Eng-NA-MOR/Garvey/amyann",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/amywes",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/arigay",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/ariken",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/bendeb",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/bevflo",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/bevguy",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/budzoe",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/dontim",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/fayjay",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/faymeg",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/floguy",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/globob",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/glojoy",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/guseve",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/gusleo",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/halivy",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/halpat",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/ianava",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/idabud",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/idazoe",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/imamae",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/jaymeg",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/joybob",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/kayben",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/kaydeb",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/kengay",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/kimada",,"multiple chi"
