"filename","sex","age"
"Bloom70/Eric/eric1","male",20
"Bloom70/Eric/eric2","male",21
"Bloom70/Eric/eric3","male",23
"Bloom70/Gia/gia1","female",19
"Bloom70/Gia/gia2","female",20
"Bloom70/Gia/gia3","female",22
"Bloom70/Gia/gia4","female",24
"Bloom70/Gia/gia5","female",30
"Bloom70/Peter/01","male",21
"Bloom70/Peter/02","male",22
"Bloom70/Peter/03","male",22
"Bloom70/Peter/04","male",23
"Bloom70/Peter/05","male",24
"Bloom70/Peter/06","None",24
"Bloom70/Peter/07","male",25
"Bloom70/Peter/08","male",26
"Bloom70/Peter/09","male",26
"Bloom70/Peter/10","male",27
"Bloom70/Peter/11","None",28
"Bloom70/Peter/12","male",28
"Bloom70/Peter/13","male",29
"Bloom70/Peter/14","male",30
"Bloom70/Peter/15","male",31
"Bloom70/Peter/16","male",31
"Bloom70/Peter/17","male",32
"Bloom70/Peter/18","male",33
"Bloom70/Peter/19","male",35
"Bloom70/Peter/20","male",38
"Bloom73/allison1","female",17
"Bloom73/allison2","female",19
"Bloom73/allison3","female",21
"Bloom73/allison4","female",22
"Bloom73/allison5","female",28
"Bloom73/allison6","female",34
"Bohannon/Bax/gina11","male",36
"Bohannon/Bax/judy6","male",36
"Bohannon/Bax/karen3","male",36
"Bohannon/Bax/kelley2","male",36
"Bohannon/Bax/leah1","male",36
"Bohannon/Bax/lindy8","male",36
"Bohannon/Bax/mari10","male",36
"Bohannon/Bax/mich7","male",36
"Bohannon/Bax/russ9","male",36
"Bohannon/Bax/thad5","male",36
"Bohannon/Nat/angela","male",36
"Bohannon/Nat/bob","male",36
"Bohannon/Nat/claire","male",36
"Bohannon/Nat/dan","male",36
"Bohannon/Nat/debbie","male",36
"Bohannon/Nat/doug","male",36
"Bohannon/Nat/elliott","male",36
"Bohannon/Nat/harvey","male",36
"Bohannon/Nat/jim","male",36
"Bohannon/Nat/john","male",36
"Bohannon/Nat/kim","male",36
"Bohannon/Nat/lauren","male",36
"Bohannon/Nat/lindsey","male",36
"Bohannon/Nat/noel","male",36
"Bohannon/Nat/ruth","male",36
"Bohannon/Nat/stephani","male",36
"Bohannon/Nat/tom","male",36
"Braunwald/0diary/010301","female",15
"Braunwald/0diary/010302","female",15
"Braunwald/0diary/010303","female",15
"Braunwald/0diary/010304","female",15
"Braunwald/0diary/010305","female",15
"Braunwald/0diary/010306","female",15
"Braunwald/0diary/010308","female",15
"Braunwald/0diary/010309","female",15
"Braunwald/0diary/010310","female",15
"Braunwald/0diary/010311","female",15
"Braunwald/0diary/010312","female",15
"Braunwald/0diary/010313","female",15
"Braunwald/0diary/010314","female",15
"Braunwald/0diary/010315","female",15
"Braunwald/0diary/010316","female",16
"Braunwald/0diary/010317","female",16
"Braunwald/0diary/010318","female",16
"Braunwald/0diary/010319","female",16
"Braunwald/0diary/010320","female",16
"Braunwald/0diary/010321","female",16
"Braunwald/0diary/010322","female",16
"Braunwald/0diary/010324","female",16
"Braunwald/0diary/010325","female",16
